DRV	LEM	ASP	CTA	KDU	WEP	WEW	GUA	CBI	KNY	KAG	HTY	KAK	ONW	PPI	RIK	MMB	MSR	MGD	CHD	TIK	KTN
0	-73	-13	-14	-70	87	87	-67	87	86	-68	86	86	86	86	86	86	-71	64	-77	-72	-85
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-1	1	-8
13	0	0	0	-33	-33	-33	-31	-33	-61	-45	-57	-62	-62	-61	-61	-62	-59	76	-60	-59	-60
14	0	0	0	0	0	0	0	0	-31	-31	-30	-31	-31	-31	-31	-31	-31	-57	-36	-47	-48
70	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-6	-7	-13
-87	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-6	-7	-13
-87	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-18	-7	-13
67	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-22	-18	-19
-87	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-18	-17	-13
-86	0	61	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-5	-7	-12
68	0	45	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-7	-7	-13
-86	0	57	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-6	-7	-12
-86	0	62	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-5	-6	-12
-86	0	62	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-5	-6	-12
-86	0	61	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-4	-4	-9
-86	0	61	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-4	-4	-9
-86	0	62	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-4	-4	-8
71	0	59	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-5	-4	-11
-64	35	-76	57	35	35	35	35	35	35	35	35	35	35	35	35	35	35	0	8	8	8
77	1	60	36	6	6	18	22	18	5	7	6	5	5	4	4	4	5	-8	0	0	-1
72	-1	59	47	7	7	7	18	17	7	7	7	6	6	4	4	4	4	-8	0	0	-2
85	8	60	48	13	13	13	19	13	12	13	12	12	12	9	9	8	11	-8	1	2	0