MAW, CZT, HBK, LMM, MLT, ELT, QSB, ISK, SUA, LVV, BEL, HLP, TAR, LOV, UPS, NUR, HAN, OUJ, PEL, SOD, KIR, MUO, IVA, ABK, KIL, MAS, AND, TRO, SOR, BJN, HOR, HRN, ALE
0, -85, -81, -80, -99, -97, -99, -100, -99, -99, -98, -100, -98, -100, -100, 99, 98, 40, 79, 79, 97, 80, 80, -82, -80, -80, -81, -80, -79, -71, -67, -67, 14
85, 0, 6, 2, -3, 0, 0, -1, -4, -2, -2, -2, -3, -4, -5, -10, -14, -17, -18, -18, -18, -19, -20, -20, -21, -21, -21, -22, -22, -19, 13, 13, 99
81, -6, 0, 0, -7, -3, -6, -7, -10, -9, -11, -10, -11, -10, -10, -15, -31, -43, -29, -28, -26, -28, -28, -28, -28, -28, -29, -30, -30, -21, -13, -13, 85
80, -2, 0, 0, -5, -2, -4, -6, -9, -8, -9, -8, -10, -10, -10, -12, -16, -31, -25, -25, -24, -26, -26, -25, -26, -27, -26, -28, -29, -21, -13, -13, 83
99, 3, 7, 5, 0, 3, 3, 2, -1, 1, 0, 1, -2, -3, -3, -7, -11, -25, -16, -16, -16, -17, -18, -17, -18, -18, -19, -19, -21, -15, -10, -10, 100
97, 0, 3, 2, -3, 0, 0, -1, -5, -3, -5, -4, -6, -7, -7, -10, -14, -30, -21, -20, -20, -22, -22, -21, -23, -24, -23, -24, -24, -19, -12, -13, 99
99, 0, 6, 4, -3, 0, 0, 0, -3, -2, -2, -2, -3, -4, -5, -9, -13, -17, -18, -18, -18, -19, -20, -20, -21, -21, -22, -22, -23, -19, -13, -13, -100
100, 1, 7, 6, -2, 1, 0, 0, -3, -2, -2, -1, -3, -3, -3, -7, -12, -16, -17, -17, -17, -18, -19, -18, -20, -20, -20, -21, -22, -19, 13, 14, -100
99, 4, 10, 9, 1, 5, 3, 3, 0, 2, 2, 2, 1, 0, 0, -2, -9, -12, -14, -14, -14, -15, -15, -15, -16, -16, -16, -17, -18, -16, 17, 18, -99
99, 2, 9, 8, -1, 3, 2, 2, -2, 0, 0, 1, -1, -1, -2, -3, -11, -14, -15, -15, -15, -16, -17, -16, -18, -18, -18, -19, -19, -18, 15, 16, -100
98, 2, 11, 9, 0, 5, 2, 2, -2, 0, 0, 1, -1, -1, -1, -3, -9, -13, -15, -15, -15, -16, -17, -16, -17, -17, -17, -18, -18, -19, 15, 16, -99
100, 2, 10, 8, -1, 4, 2, 1, -2, -1, -1, 0, -1, -2, -2, -3, -10, -15, -16, -16, -16, -17, -17, -17, -18, -18, -18, -19, -19, -18, 14, 15, -100
98, 3, 11, 10, 2, 6, 3, 3, -1, 1, 1, 1, 0, 0, 0, -2, -8, -12, -13, -14, -14, -15, -15, -15, -16, -16, -16, -16, -17, -19, 16, 16, -99
100, 4, 10, 10, 3, 7, 4, 3, 0, 1, 1, 2, 0, 0, 0, -1, -4, -11, -12, -12, -12, -13, -14, -13, -15, -15, -15, -15, -16, -19, 24, 24, -100
100, 5, 10, 10, 3, 7, 5, 3, 0, 2, 1, 2, 0, 0, 0, -1, -3, -11, -12, -12, -12, -13, -14, -13, -14, -14, -14, -15, -16, -19, 25, 25, -100
-99, 10, 15, 12, 7, 10, 9, 7, 2, 3, 3, 3, 2, 1, 1, 0, -2, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -13, -14, -18, 26, 27, -98
-98, 14, 31, 16, 11, 14, 13, 12, 9, 11, 9, 10, 8, 4, 3, 2, 0, -3, -6, -6, -7, -7, -7, -7, -8, -8, -8, -8, -7, -15, 28, 28, -98
-40, 17, 43, 31, 25, 30, 17, 16, 12, 14, 13, 15, 12, 11, 11, 11, 3, 0, -1, 0, -1, -2, -2, -1, -3, -3, -2, -3, -4, 27, -36, -36, -54
-79, 18, 29, 25, 16, 21, 18, 17, 14, 15, 15, 16, 13, 12, 12, 11, 6, 1, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -2, 5, -35, -35, -64
-79, 18, 28, 25, 16, 20, 18, 17, 14, 15, 15, 16, 14, 12, 12, 11, 6, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 4, -36, -36, -64
-97, 18, 26, 24, 16, 20, 18, 17, 14, 15, 15, 16, 14, 12, 12, 11, 7, 1, 0, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, 5, -35, -35, -96
-80, 19, 28, 26, 17, 22, 19, 18, 15, 16, 16, 17, 15, 13, 13, 12, 7, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, -35, -34, -82
-80, 20, 28, 26, 18, 22, 20, 19, 15, 17, 17, 17, 15, 14, 14, 12, 7, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, -35, -34, -81
82, 20, 28, 25, 17, 21, 20, 18, 15, 16, 16, 17, 15, 13, 13, 12, 7, 1, 0, 1, 0, 0, 0, 0, 0, 0, -1, -1, -1, 6, -35, -35, 87
80, 21, 28, 26, 18, 23, 21, 20, 16, 18, 17, 18, 16, 15, 14, 12, 8, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 9, 86
80, 21, 28, 27, 18, 24, 21, 20, 16, 18, 17, 18, 16, 15, 14, 12, 8, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 9, 86
81, 21, 29, 26, 19, 23, 22, 20, 16, 18, 17, 18, 16, 15, 14, 12, 8, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 4, 9, 9, 86
80, 22, 30, 28, 19, 24, 22, 21, 17, 19, 18, 19, 16, 15, 15, 13, 8, 3, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 4, 8, 9, 86
79, 22, 30, 29, 21, 24, 23, 22, 18, 19, 18, 19, 17, 16, 16, 14, 7, 4, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 7, 7, 82
71, 19, 21, 21, 15, 19, 19, 19, 16, 18, 19, 18, 19, 19, 19, 18, 15, -27, -5, -4, -5, -5, -5, -6, -5, -4, -4, -4, -3, 0, 2, 3, 74
67, -13, 13, 13, 10, 12, 13, -13, -17, -15, -15, -14, -16, -24, -25, -26, -28, 36, 35, 36, 35, 35, 35, 35, -9, -8, -9, -8, -7, -2, 0, 0, 71
67, -13, 13, 13, 10, 13, 13, -14, -18, -16, -16, -15, -16, -24, -25, -27, -28, 36, 35, 36, 35, 34, 34, 35, -9, -9, -9, -9, -7, -3, 0, 0, 70
-14, -99, -85, -83, -100, -99, 100, 100, 99, 100, 99, 100, 99, 100, 100, 98, 98, 54, 64, 64, 96, 82, 81, -87, -86, -86, -86, -86, -82, -74, -71, -70, 0