DRV	ASP	CTA	KDU	WEP	WEW	GUA	CBI	KNY	KAG	HTY	KAK	ONW	PPI	MMB	MSR	MGD	CHD	KTN
1.00	0.77	0.80	0.82	0.85	0.87	0.88	0.83	0.82	0.79	0.81	0.80	0.80	0.77	0.74	0.70	0.77	0.88	0.68
0.77	1.00	0.99	0.98	0.97	0.95	0.93	0.96	0.97	0.98	0.98	0.98	0.99	0.99	0.98	0.97	0.91	0.79	0.70
0.80	0.99	1.00	0.98	0.98	0.97	0.95	0.97	0.97	0.98	0.98	0.98	0.98	0.97	0.96	0.95	0.92	0.80	0.70
0.82	0.98	0.98	1.00	1.00	0.99	0.98	1.00	1.00	0.99	0.99	0.99	0.99	0.98	0.95	0.92	0.93	0.79	0.65
0.85	0.97	0.98	1.00	1.00	1.00	0.99	1.00	0.99	0.99	0.99	0.99	0.98	0.97	0.94	0.91	0.94	0.82	0.66
0.87	0.95	0.97	0.99	1.00	1.00	1.00	0.99	0.99	0.98	0.98	0.98	0.98	0.96	0.93	0.90	0.93	0.84	0.69
0.88	0.93	0.95	0.98	0.99	1.00	1.00	0.99	0.98	0.97	0.97	0.97	0.96	0.95	0.91	0.87	0.93	0.83	0.66
0.83	0.96	0.97	1.00	1.00	0.99	0.99	1.00	1.00	0.99	0.99	0.99	0.98	0.97	0.94	0.90	0.94	0.78	0.63
0.82	0.97	0.97	1.00	0.99	0.99	0.98	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.96	0.93	0.93	0.80	0.65
0.79	0.98	0.98	0.99	0.99	0.98	0.97	0.99	1.00	1.00	1.00	1.00	0.99	0.99	0.97	0.94	0.92	0.79	0.66
0.81	0.98	0.98	0.99	0.99	0.98	0.97	0.99	1.00	1.00	1.00	1.00	1.00	0.99	0.98	0.95	0.92	0.80	0.68
0.80	0.98	0.98	0.99	0.99	0.98	0.97	0.99	1.00	1.00	1.00	1.00	1.00	0.99	0.98	0.95	0.91	0.78	0.67
0.80	0.99	0.98	0.99	0.98	0.98	0.96	0.98	0.99	0.99	1.00	1.00	1.00	0.99	0.98	0.97	0.91	0.79	0.69
0.77	0.99	0.97	0.98	0.97	0.96	0.95	0.97	0.99	0.99	0.99	0.99	0.99	1.00	0.99	0.97	0.91	0.76	0.65
0.74	0.98	0.96	0.95	0.94	0.93	0.91	0.94	0.96	0.97	0.98	0.98	0.98	0.99	1.00	0.99	0.88	0.76	0.70
0.70	0.97	0.95	0.92	0.91	0.90	0.87	0.90	0.93	0.94	0.95	0.95	0.97	0.97	0.99	1.00	0.85	0.74	0.71
0.77	0.91	0.92	0.93	0.94	0.93	0.93	0.94	0.93	0.92	0.92	0.91	0.91	0.91	0.88	0.85	1.00	0.73	0.68
0.88	0.79	0.80	0.79	0.82	0.84	0.83	0.78	0.80	0.79	0.80	0.78	0.79	0.76	0.76	0.74	0.73	1.00	0.84
0.68	0.70	0.70	0.65	0.66	0.69	0.66	0.63	0.65	0.66	0.68	0.67	0.69	0.65	0.70	0.71	0.68	0.84	1.00