MAW	CZT	HBK	BNG	AAE	MLT	ELT	QSB	ISK	SUA	LVV	BEL	HLP	TAR	LOV	UPS	NUR	HAN	OUJ	PEL	SOD	KIR	MUO	IVA	ABK	KIL	MAS	KEV	AND	TRO	SOR	BJN	HOR	HRN	LYR	NAL	DMH	NRD	ALE
0	127	61	65	58	52	56	56	58	60	119	120	126	130	131	130	130	129	128	130	131	133	131	131	134	141	142	142	141	142	142	10	10	10	11	12	2	1	0
-127	0	-50	-45	-50	-54	-50	-50	-48	-31	-11	-9	0	-1	0	0	0	0	-9	-7	-6	0	-7	-5	0	-1	0	0	0	0	1	-117	-118	-118	-119	-119	-132	-136	-20
-61	50	0	0	0	0	0	0	0	0	0	0	19	29	85	84	29	28	23	20	21	21	20	0	0	0	0	0	0	0	0	-30	-30	-30	-17	-30	-29	-32	-44
-65	45	0	0	0	0	0	0	0	0	0	0	18	28	34	33	28	26	20	20	17	0	0	0	0	0	0	0	0	0	0	-35	-32	-33	-31	-31	-30	-38	-64
-58	50	0	0	0	0	0	0	0	0	0	0	20	34	35	35	31	30	25	20	21	20	20	0	0	0	0	0	0	0	0	-31	-30	-31	-29	-30	-29	-33	-52
-52	54	0	0	0	0	0	0	0	0	2	2	24	36	37	37	35	31	27	24	24	25	21	0	0	0	0	0	0	-1	-2	-31	-30	-31	-30	-31	-30	-38	-52
-56	50	0	0	0	0	0	0	0	0	0	0	19	33	35	34	30	28	23	20	21	21	20	0	20	0	0	0	0	0	0	-31	-30	-30	-29	-30	-30	-38	-52
-56	50	0	0	0	0	0	0	0	0	0	17	20	34	35	34	31	30	26	21	21	21	21	21	21	20	24	0	20	0	0	-31	-28	-29	-19	-19	-25	-33	-46
-58	48	0	0	0	0	0	0	0	0	0	0	18	32	33	33	29	27	23	20	21	21	20	20	20	20	20	0	19	0	0	-31	-29	-29	-19	-19	-30	-38	-46
-60	31	0	0	0	0	0	0	0	0	1	1	18	32	35	35	32	29	24	20	21	23	21	21	21	21	23	23	20	21	0	-36	-30	-30	-30	-32	-30	-40	-60
-119	11	0	0	0	-2	0	0	0	-1	0	0	1	14	30	30	29	14	10	10	9	19	7	6	8	17	19	19	9	15	15	-40	-38	-32	-31	-34	-33	-41	-64
-120	9	0	0	0	-2	0	-17	0	-1	0	0	0	-1	17	16	10	11	10	9	9	6	5	4	5	5	20	20	7	19	16	-53	-45	-45	-38	-38	0	-77	-80
-126	0	-19	-18	-20	-24	-19	-20	-18	-18	-1	0	0	-1	0	0	0	1	0	0	0	6	1	5	5	9	12	12	9	12	13	-114	-113	-113	-111	-111	-113	-112	2
-130	1	-29	-28	-34	-36	-33	-34	-32	-32	-14	1	1	0	0	0	0	-6	-3	0	0	0	0	0	1	2	2	3	2	2	2	-113	-113	-112	-108	-109	-112	-112	-79
-131	0	-85	-34	-35	-37	-35	-35	-33	-35	-30	-17	0	0	0	0	0	0	-4	-2	-1	0	-1	0	0	0	0	1	1	1	-52	-116	-120	-121	-111	-111	-114	-113	-80
-130	0	-84	-33	-35	-37	-34	-34	-33	-35	-30	-16	0	0	0	0	0	0	-1	-1	-1	0	-2	0	0	2	2	2	1	1	-52	-116	-98	-98	-96	-111	-114	-114	-79
-130	0	-29	-28	-31	-35	-30	-31	-29	-32	-29	-10	0	0	0	0	0	0	0	0	-1	-1	-2	0	0	1	0	2	-51	-51	-51	-124	-92	-93	-94	-111	-113	-113	-68
-129	0	-28	-26	-30	-31	-28	-30	-27	-29	-14	-11	-1	6	0	0	0	0	0	0	0	0	0	0	1	2	9	10	1	8	10	-117	-117	-118	-98	-98	-115	-113	-68
-128	9	-23	-20	-25	-27	-23	-26	-23	-24	-10	-10	0	3	4	1	0	0	0	0	1	8	5	7	9	10	11	11	10	11	12	-113	-98	-99	-99	-98	-113	-107	-70
-130	7	-20	-20	-20	-24	-20	-21	-20	-20	-10	-9	0	0	2	1	0	0	0	0	0	0	0	0	0	0	6	6	0	7	8	-113	-109	-109	-106	-106	0	-107	-16
-131	6	-21	-17	-21	-24	-21	-21	-21	-21	-9	-9	0	0	1	1	1	0	-1	0	0	0	0	0	0	0	6	6	0	6	7	6	6	6	6	5	0	-108	-16
-133	0	-21	0	-20	-25	-21	-21	-21	-23	-19	-6	-6	0	0	0	1	0	-8	0	0	0	0	0	0	0	0	0	0	0	2	0	6	6	5	-5	-4	-107	-19
-131	7	-20	0	-20	-21	-20	-21	-20	-21	-7	-5	-1	0	1	2	2	0	-5	0	0	0	0	0	0	0	0	0	0	0	6	6	7	6	6	6	-2	-107	-16
-131	5	0	0	0	0	0	-21	-20	-21	-6	-4	-5	0	0	0	0	0	-7	0	0	0	0	0	0	0	0	0	0	0	1	2	7	6	6	-3	-2	-9	-15
-134	0	0	0	0	0	-20	-21	-20	-21	-8	-5	-5	-1	0	0	0	-1	-9	0	0	0	0	0	0	0	0	0	0	0	0	-2	7	6	-3	-4	-3	-9	-20
-141	1	0	0	0	0	0	-20	-20	-21	-17	-5	-9	-2	0	-2	-1	-2	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	-2	-3	-3	-3	-8	-20
-142	0	0	0	0	0	0	-24	-20	-23	-19	-20	-12	-2	0	-2	0	-9	-11	-6	-6	0	0	0	0	0	0	0	0	0	0	0	-2	-3	-2	-3	-4	-9	-21
-142	0	0	0	0	0	0	0	0	-23	-19	-20	-12	-3	-1	-2	-2	-10	-11	-6	-6	0	0	0	0	0	0	0	0	0	0	0	-3	-3	-3	-3	-4	-10	-22
-141	0	0	0	0	0	0	-20	-19	-20	-9	-7	-9	-2	-1	-1	51	-1	-10	0	0	0	0	0	0	0	0	0	0	0	0	-1	-2	-2	-2	-3	-3	-9	-20
-142	0	0	0	0	1	0	0	0	-21	-15	-19	-12	-2	-1	-1	51	-8	-11	-7	-6	0	0	0	0	0	0	0	0	0	0	-1	-2	-3	-2	-3	-3	-10	-21
-142	-1	0	0	0	2	0	0	0	0	-15	-16	-13	-2	52	52	51	-10	-12	-8	-7	-2	-6	-1	0	0	0	0	0	0	0	-2	-3	-4	-2	-2	-4	-10	-22
-10	117	30	35	31	31	31	31	31	36	40	53	114	113	116	116	124	117	113	113	-6	0	-6	-2	2	0	0	0	1	1	2	0	0	0	0	0	-2	-7	-19
-10	118	30	32	30	30	30	28	29	30	38	45	113	113	120	98	92	117	98	109	-6	-6	-7	-7	-7	2	2	3	2	2	3	0	0	0	0	0	-1	-8	-19
-10	118	30	33	31	31	30	29	29	30	32	45	113	112	121	98	93	118	99	109	-6	-6	-6	-6	-6	2	3	3	2	3	4	0	0	0	0	0	-1	-8	-19
-11	119	17	31	29	30	29	19	19	30	31	38	111	108	111	96	94	98	99	106	-6	-5	-6	-6	3	3	2	3	2	2	2	0	0	0	0	0	-1	-5	-21
-12	119	30	31	30	31	30	19	19	32	34	38	111	109	111	111	111	98	98	106	-5	5	-6	3	4	3	3	3	3	3	2	0	0	0	0	0	0	-4	-21
-2	132	29	30	29	30	30	25	30	30	33	0	113	112	114	114	113	115	113	0	0	4	2	2	3	3	4	4	3	3	4	2	1	1	1	0	0	0	-15
-1	136	32	38	33	38	38	33	38	40	41	77	112	112	113	114	113	113	107	107	108	107	107	9	9	8	9	10	9	10	10	7	8	8	5	4	0	0	-2
0	20	44	64	52	52	52	46	46	60	64	80	-2	79	80	79	68	68	70	16	16	19	16	15	20	20	21	22	20	21	22	19	19	19	21	21	15	2	0